CROP,FIPS_CODE,COUNTY_NAME,STATE_CODE,YEAR,TOTAL_HARVESTED_ACRES,TOTAL_YIELD
CORN,1003,BALDWIN,AL,2014,5400,138.9
CORN,1005,BARBOUR,AL,2014,1900,166.3
CORN,1009,BLOUNT,AL,2014,2000,144
CORN,1013,BUTLER,AL,2014,1800,102.8
CORN,1015,CALHOUN,AL,2014,1300,136.2
CORN,1019,CHEROKEE,AL,2014,2800,113.2
CORN,1033,COLBERT,AL,2014,23200,191.5
CORN,1035,CONECUH,AL,2014,750,115.7
CORN,1041,CRENSHAW,AL,2014,1900,75.8
CORN,1043,CULLMAN,AL,2014,2000,163.5
CORN,1045,DALE,AL,2014,2100,116.2
CORN,1047,DALLAS,AL,2014,2500,111.6
CORN,1049,DE KALB,AL,2014,11400,144.3
CORN,1053,ESCAMBIA,AL,2014,2600,163.5
CORN,1055,ETOWAH,AL,2014,3100,121
CORN,1057,FAYETTE,AL,2014,1200,142.5
CORN,1059,FRANKLIN,AL,2014,2300,143.9
CORN,1065,HALE,AL,2014,1300,140
CORN,1069,HOUSTON,AL,2014,2300,148.3
CORN,1071,JACKSON,AL,2014,28500,149.9
CORN,1075,LAMAR,AL,2014,800,150
CORN,1077,LAUDERDALE,AL,2014,28800,184.4
CORN,1079,LAWRENCE,AL,2014,33000,187.1
CORN,1083,LIMESTONE,AL,2014,24300,181.7
CORN,1089,MADISON,AL,2014,28000,169
CORN,1095,MARSHALL,AL,2014,4200,145.2
CORN,1099,MONROE,AL,2014,550,149.1
CORN,1105,PERRY,AL,2014,2800,148.6
CORN,1109,PIKE,AL,2014,3100,101.9
CORN,1111,RANDOLPH,AL,2014,1300,99.2
CORN,1117,SHELBY,AL,2014,1300,143.1
CORN,1119,SUMTER,AL,2014,200,165
CORN,1121,TALLADEGA,AL,2014,8900,144.4
CORN,1125,TUSCALOOSA,AL,2014,2200,137.3
CORN,1127,WALKER,AL,2014,650,140
CORN,1131,WILCOX,AL,2014,1000,95
CORN,1998,OTHER (COMBINED) COUNTIES,AL,2014,43550,833.4
CORN,5001,ARKANSAS,AR,2014,33000,188.9
CORN,5003,ASHLEY,AR,2014,22000,193.4
CORN,5017,CHICOT,AR,2014,26100,189.3
CORN,5021,CLAY,AR,2014,25100,194.6
CORN,5031,CRAIGHEAD,AR,2014,29700,183.8
CORN,5033,CRAWFORD,AR,2014,1400,95.7
CORN,5035,CRITTENDEN,AR,2014,8800,183
CORN,5037,CROSS,AR,2014,9700,173.8
CORN,5041,DESHA,AR,2014,30100,204
CORN,5043,DREW,AR,2014,11100,205.8
CORN,5047,FRANKLIN,AR,2014,800,171.3
CORN,5055,GREENE,AR,2014,15900,182.5
CORN,5063,INDEPENDENCE,AR,2014,5000,179.6
CORN,5067,JACKSON,AR,2014,15600,173
CORN,5069,JEFFERSON,AR,2014,29000,201.3
CORN,5075,LAWRENCE,AR,2014,9200,166.3
CORN,5077,LEE,AR,2014,22600,177.9
CORN,5079,LINCOLN,AR,2014,18000,195
CORN,5083,LOGAN,AR,2014,2500,150.4
CORN,5085,LONOKE,AR,2014,34000,198.9
CORN,5091,MILLER,AR,2014,8400,163.7
CORN,5093,MISSISSIPPI,AR,2014,20900,201.2
CORN,5095,MONROE,AR,2014,23600,184.2
CORN,5107,PHILLIPS,AR,2014,28500,197.2
CORN,5111,POINSETT,AR,2014,17900,180.1
CORN,5117,PRAIRIE,AR,2014,11800,185.6
CORN,5121,RANDOLPH,AR,2014,5700,181.1
CORN,5123,SAINT FRANCIS,AR,2014,11500,179.1
CORN,5145,WHITE,AR,2014,6000,194.8
CORN,5147,WOODRUFF,AR,2014,16500,172.5
CORN,5998,OTHER (COMBINED) COUNTIES,AR,2014,20900,297.7
CORN,6021,GLENN,CA,2014,6000,196.7
CORN,6067,SACRAMENTO,CA,2014,10000,173
CORN,6095,SOLANO,CA,2014,6000,170
CORN,6099,STANISLAUS,CA,2014,800,125
CORN,6101,SUTTER,CA,2014,2000,225
CORN,6998,OTHER (COMBINED) COUNTIES,CA,2014,68200,327.9
CORN,8001,ADAMS,CO,2014,28300,125.4
CORN,8011,BENT,CO,2014,8200,131.6
CORN,8017,CHEYENNE,CO,2014,32300,102.6
CORN,8063,KIT CARSON,CO,2014,154700,102.6
CORN,8069,LARIMER,CO,2014,8700,146.6
CORN,8073,LINCOLN,CO,2014,19120,62.8
CORN,8075,LOGAN,CO,2014,80800,148.9
CORN,8087,MORGAN,CO,2014,48800,162.2
CORN,8089,OTERO,CO,2014,9400,191.8
CORN,8095,PHILLIPS,CO,2014,110500,154.6
CORN,8115,SEDGWICK,CO,2014,54900,149.8
CORN,8121,WASHINGTON,CO,2014,76200,108.6
CORN,8123,WELD,CO,2014,63000,169.5
CORN,8125,YUMA,CO,2014,208500,196.9
CORN,8998,OTHER (COMBINED) COUNTIES,CO,2014,88880,316.9
CORN,10001,KENT,DE,2014,51000,200.4
CORN,10003,NEW CASTLE,DE,2014,16200,190.7
CORN,10005,SUSSEX,DE,2014,100800,201.3
CORN,13001,APPLING,GA,2014,2050,156.6
CORN,13003,ATKINSON,GA,2014,3750,164.8
CORN,13005,BACON,GA,2014,1500,117.3
CORN,13007,BAKER,GA,2014,9800,174.9
CORN,13015,BARTOW,GA,2014,1800,116.1
CORN,13017,BEN HILL,GA,2014,2600,135.8
CORN,13019,BERRIEN,GA,2014,4650,146.9
CORN,13023,BLECKLEY,GA,2014,3200,190.6
CORN,13025,BRANTLEY,GA,2014,650,76.9
CORN,13031,BULLOCH,GA,2014,3000,185
CORN,13033,BURKE,GA,2014,11000,192.8
CORN,13037,CALHOUN,GA,2014,8900,192
CORN,13043,CANDLER,GA,2014,500,80
CORN,13055,CHATTOOGA,GA,2014,1350,155.6
CORN,13069,COFFEE,GA,2014,5650,134.7
CORN,13071,COLQUITT,GA,2014,2300,209.6
CORN,13075,COOK,GA,2014,1250,166.4
CORN,13087,DECATUR,GA,2014,12200,183.3
CORN,13091,DODGE,GA,2014,3500,165.4
CORN,13093,DOOLY,GA,2014,4200,196.7
CORN,13099,EARLY,GA,2014,9400,194.1
CORN,13109,EVANS,GA,2014,1400,132.1
CORN,13115,FLOYD,GA,2014,2000,168
CORN,13129,GORDON,GA,2014,2000,151
CORN,13137,HABERSHAM,GA,2014,300,90
CORN,13139,HALL,GA,2014,350,110
CORN,13147,HART,GA,2014,650,121.5
CORN,13155,IRWIN,GA,2014,8650,176.5
CORN,13161,JEFF DAVIS,GA,2014,1350,111.1
CORN,13163,JEFFERSON,GA,2014,8300,199.6
CORN,13165,JENKINS,GA,2014,3100,168.1
CORN,13175,LAURENS,GA,2014,3150,136.5
CORN,13185,LOWNDES,GA,2014,650,70.8
CORN,13193,MACON,GA,2014,1900,182.6
CORN,13197,MARION,GA,2014,800,102.5
CORN,13201,MILLER,GA,2014,14200,195.2
CORN,13205,MITCHELL,GA,2014,14900,189.2
CORN,13229,PIERCE,GA,2014,5050,123.4
CORN,13233,POLK,GA,2014,1300,151.5
CORN,13235,PULASKI,GA,2014,3800,174.5
CORN,13243,RANDOLPH,GA,2014,8700,190.3
CORN,13251,SCREVEN,GA,2014,8350,179.2
CORN,13253,SEMINOLE,GA,2014,14100,195.8
CORN,13261,SUMTER,GA,2014,9500,173.9
CORN,13267,TATTNALL,GA,2014,3200,173.8
CORN,13269,TAYLOR,GA,2014,550,151.8
CORN,13273,TERRELL,GA,2014,12600,180.8
CORN,13275,THOMAS,GA,2014,3200,116.9
CORN,13277,TIFT,GA,2014,1850,141.6
CORN,13279,TOOMBS,GA,2014,2600,185
CORN,13287,TURNER,GA,2014,2800,171.8
CORN,13299,WARE,GA,2014,1850,159.5
